号码ID,号码,状态码,呼叫结果,是否可拨,呼叫人,标题,名字,中间名,姓氏,地址1,地址2,地址3,城市,区号,地区,邮编,省份,性别,备用电话,邮箱,描述,生日,呼叫次数,呼叫时间,导入时间,
100558,9999000773,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:18,2015-03-04 16:27:34,
100563,9999000778,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:34,2015-03-04 16:27:34,
100568,9999000783,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:34,2015-03-04 16:27:34,
100569,9999000784,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:34,2015-03-04 16:27:34,
100573,9999000788,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:34,2015-03-04 16:27:34,
100578,9999000793,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:34,2015-03-04 16:27:34,
100579,9999000794,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:41,2015-03-04 16:27:34,
100589,9999000804,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:23:57,2015-03-04 16:27:34,
100598,9999000813,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:06,2015-03-04 16:27:34,
100599,9999000814,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:06,2015-03-04 16:27:34,
100623,9999000838,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:06,2015-03-04 16:27:34,
100633,9999000848,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:34,
100638,9999000853,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:34,
100639,9999000854,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:34,
100643,9999000858,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:34,
100648,9999000863,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:34,
100649,9999000864,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:34,
100653,9999000868,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:34,
100658,9999000873,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:34,
100659,9999000874,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:34,
100663,9999000878,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:35,
100668,9999000883,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:35,
100669,9999000884,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:35,
100673,9999000888,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:35,
100678,9999000893,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:23,2015-03-04 16:27:35,
100679,9999000894,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:29,2015-03-04 16:27:35,
100683,9999000898,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:29,2015-03-04 16:27:35,
100688,9999000903,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:29,2015-03-04 16:27:35,
100689,9999000904,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:29,2015-03-04 16:27:35,
100693,9999000908,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:39,2015-03-04 16:27:35,
100698,9999000913,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:39,2015-03-04 16:27:35,
100699,9999000914,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:39,2015-03-04 16:27:35,
100703,9999000918,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:39,2015-03-04 16:27:35,
100708,9999000923,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:48,2015-03-04 16:27:35,
100709,9999000924,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:24:48,2015-03-04 16:27:35,
100713,9999000928,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100718,9999000933,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100719,9999000934,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100723,9999000938,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100738,9999000953,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100739,9999000954,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100743,9999000958,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100758,9999000973,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100759,9999000974,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100763,9999000978,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100768,9999000983,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100778,9999000993,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100779,9999000994,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100783,9999000998,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100788,9999001003,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100789,9999001004,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100798,9999001013,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100799,9999001014,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100803,9999001018,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100808,9999001023,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100809,9999001024,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100818,9999001033,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100819,9999001034,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100823,9999001038,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:34,2015-03-04 16:27:35,
100828,9999001043,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:25:42,2015-03-04 16:27:35,
101118,9999001333,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:32:06,2015-03-04 16:27:35,
101119,9999001334,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:32:06,2015-03-04 16:27:35,
101123,9999001338,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:32:06,2015-03-04 16:27:35,
101128,9999001343,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:32:06,2015-03-04 16:27:35,
101129,9999001344,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:32:09,2015-03-04 16:27:35,
101133,9999001348,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:32:12,2015-03-04 16:27:35,
101138,9999001353,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101139,9999001354,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101143,9999001358,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101148,9999001363,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101149,9999001364,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101153,9999001368,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101158,9999001373,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101159,9999001374,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101163,9999001378,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101168,9999001383,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101169,9999001384,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101173,9999001388,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101178,9999001393,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101179,9999001394,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101183,9999001398,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101188,9999001403,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101189,9999001404,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:35,
101198,9999001413,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:36,
101199,9999001414,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:33:06,2015-03-04 16:27:36,
101233,9999001448,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101238,9999001453,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101239,9999001454,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101243,9999001458,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101258,9999001473,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101259,9999001474,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101263,9999001478,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101278,9999001493,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101279,9999001494,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101283,9999001498,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101288,9999001503,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101289,9999001504,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:34:10,2015-03-04 16:27:36,
101293,9999001508,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:06,2015-03-04 16:27:36,
101298,9999001513,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:06,2015-03-04 16:27:36,
101299,9999001514,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:06,2015-03-04 16:27:36,
101303,9999001518,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:06,2015-03-04 16:27:36,
101308,9999001523,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:06,2015-03-04 16:27:36,
101309,9999001524,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:06,2015-03-04 16:27:36,
101313,9999001528,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101318,9999001533,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101319,9999001534,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101323,9999001538,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101328,9999001543,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101329,9999001544,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101333,9999001548,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101338,9999001553,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101339,9999001554,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101343,9999001558,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101348,9999001563,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101349,9999001564,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101353,9999001568,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101358,9999001573,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101359,9999001574,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101363,9999001578,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101368,9999001583,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101369,9999001584,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101373,9999001588,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:35:17,2015-03-04 16:27:36,
101478,9999001693,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:39:46,2015-03-04 16:27:36,
101479,9999001694,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:39:46,2015-03-04 16:27:36,
101518,9999001733,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:40:47,2015-03-04 16:27:36,
101519,9999001734,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:40:47,2015-03-04 16:27:36,
101523,9999001738,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:40:47,2015-03-04 16:27:36,
101528,9999001743,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:40:56,2015-03-04 16:27:36,
101529,9999001744,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:40:56,2015-03-04 16:27:36,
101533,9999001748,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:40:56,2015-03-04 16:27:36,
101539,9999001754,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:40:56,2015-03-04 16:27:36,
101543,9999001758,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:41:02,2015-03-04 16:27:36,
101553,9999001768,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:41:06,2015-03-04 16:27:36,
101563,9999001778,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:41:20,2015-03-04 16:27:36,
101568,9999001783,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:41:20,2015-03-04 16:27:36,
101569,9999001784,AB,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,1,2015-03-11 10:41:20,2015-03-04 16:27:36,
99788,9999000003,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 14:58:03,2015-03-04 16:27:33,
99789,9999000004,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 14:58:03,2015-03-04 16:27:33,
99793,9999000008,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 14:58:26,2015-03-04 16:27:33,
99798,9999000013,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:12:18,2015-03-04 16:27:33,
99799,9999000014,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:12:20,2015-03-04 16:27:33,
99803,9999000018,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:12:23,2015-03-04 16:27:33,
99808,9999000023,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:13:18,2015-03-04 16:27:33,
99809,9999000024,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:13:18,2015-03-04 16:27:33,
99813,9999000028,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:14:39,2015-03-04 16:27:33,
99818,9999000033,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:14:57,2015-03-04 16:27:33,
99819,9999000034,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:14:59,2015-03-04 16:27:33,
99823,9999000038,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:34:40,2015-03-04 16:27:33,
99828,9999000043,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:34:48,2015-03-04 16:27:33,
99829,9999000044,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:34:51,2015-03-04 16:27:33,
99833,9999000048,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:35:11,2015-03-04 16:27:33,
99838,9999000053,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:35:29,2015-03-04 16:27:33,
99839,9999000054,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:35:32,2015-03-04 16:27:33,
99843,9999000058,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:35:57,2015-03-04 16:27:33,
99848,9999000063,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:36:12,2015-03-04 16:27:33,
99849,9999000064,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:36:15,2015-03-04 16:27:33,
99853,9999000068,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:36:45,2015-03-04 16:27:33,
99858,9999000073,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:36:58,2015-03-04 16:27:33,
99859,9999000074,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:37:01,2015-03-04 16:27:33,
99863,9999000078,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:37:46,2015-03-04 16:27:33,
99868,9999000083,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:38:14,2015-03-04 16:27:33,
99869,9999000084,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:38:14,2015-03-04 16:27:33,
99873,9999000088,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:38:35,2015-03-04 16:27:33,
99878,9999000093,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:41:23,2015-03-04 16:27:33,
99879,9999000094,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:41:26,2015-03-04 16:27:33,
99883,9999000098,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-10 15:50:39,2015-03-04 16:27:33,
99888,9999000103,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-11 08:55:40,2015-03-04 16:27:33,
99889,9999000104,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-11 08:55:40,2015-03-04 16:27:33,
99893,9999000108,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-11 08:55:58,2015-03-04 16:27:33,
99898,9999000113,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-11 08:57:16,2015-03-04 16:27:33,
99899,9999000114,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-11 08:57:16,2015-03-04 16:27:33,
99903,9999000118,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-11 08:57:42,2015-03-04 16:27:33,
99908,9999000123,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-11 08:57:59,2015-03-04 16:27:33,
99909,9999000124,B,关机,是,VDAD,,,,,,,,,086,,,,,,,,0000-00-00,2,2015-03-11 08:58:02,2015-03-04 16:27:33,
